,codes,sec_name,SEO_class,wind_class,sw_class,zx_class
128,300737.SZ,科顺股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
129,600176.SH,中国巨石,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
130,600425.SH,青松建化,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
131,600449.SH,宁夏建材,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
132,600539.SH,ST狮头,,材料--材料Ⅱ--建材Ⅲ--建材,,
133,600585.SH,海螺水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
134,600586.SH,金晶科技,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
135,600678.SH,四川金顶,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
136,600720.SH,祁连山,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
137,600801.SH,华新水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
138,600802.SH,福建水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
139,600819.SH,耀皮玻璃,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
140,600881.SH,亚泰集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,
141,600883.SH,博闻科技,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
142,601636.SH,旗滨集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
143,601865.SH,福莱特,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,
144,601992.SH,金隅集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,
145,605006.SH,山东玻纤,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
146,688398.SH,赛特新材,,材料--材料Ⅱ--建材Ⅲ--建材,,
147,900918.SH,耀皮B股,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
148,900933.SH,华新B股,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
149,000546.SZ,金圆股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
150,000619.SZ,海螺型材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
151,002084.SZ,海鸥住工,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
152,002162.SZ,悦心健康,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
153,002205.SZ,国统股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--结构材料--其他结构材料
154,002333.SZ,ST罗普,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
155,002359.SZ,*ST北讯,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
156,002372.SZ,伟星新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--装饰材料--其他装饰材料
157,002457.SZ,青龙管业,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
158,002545.SZ,东方铁塔,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建筑--建筑施工--专业工程及其他
159,002641.SZ,永高股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--装饰材料--其他装饰材料
160,002652.SZ,扬子新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--专用材料Ⅱ--其他专用材料
161,002671.SZ,龙泉股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
162,002694.SZ,顾地科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
163,002718.SZ,友邦吊顶,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
164,002790.SZ,瑞尔特,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
165,002791.SZ,坚朗五金,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
166,002798.SZ,帝欧家居,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
167,002918.SZ,蒙娜丽莎,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
168,003012.SZ,东鹏控股,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
169,200055.SZ,方大B,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建材--专用材料Ⅱ--其他专用材料
170,300021.SZ,大禹节水,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--专用材料Ⅱ--其他专用材料
171,300198.SZ,纳川股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--专用材料Ⅱ--其他专用材料
172,300234.SZ,开尔新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--专用材料Ⅱ--其他专用材料
173,300344.SZ,太空智造,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--专用材料Ⅱ--其他专用材料
174,300374.SZ,中铁装配,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-耐火材料,建材--装饰材料--其他装饰材料
175,300599.SZ,雄塑科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
176,300767.SZ,震安科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
177,600321.SH,正源股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
178,601700.SH,风范股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
179,603038.SH,华立股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
180,603256.SH,宏和科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
181,603385.SH,惠达卫浴,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
182,603577.SH,汇金通,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
183,603616.SH,韩建河山,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--结构材料--其他结构材料
184,603856.SH,东宏股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,
185,603992.SH,松霖科技,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
186,605318.SH,法狮龙,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
187,000055.SZ,方大集团,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建材--专用材料Ⅱ--其他专用材料
188,002135.SZ,东南网架,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,建筑--建筑施工--专业工程及其他
189,002200.SZ,ST云投,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,
190,002541.SZ,鸿路钢构,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,建筑--建筑施工--专业工程及其他
191,002593.SZ,日上集团,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,
192,002717.SZ,岭南股份,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
193,002743.SZ,富煌钢构,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,
194,002887.SZ,绿茵生态,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,,建筑--建筑施工--园林工程
195,003013.SZ,地铁设计,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-城轨建设,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
196,300197.SZ,铁汉生态,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
197,300355.SZ,蒙草生态,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
198,300495.SZ,美尚生态,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
199,600326.SH,西藏天路,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建筑--建筑施工--基建建设
200,600477.SH,杭萧钢构,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,建筑--建筑施工--专业工程及其他
201,600496.SH,精工钢构,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-钢结构,建筑--建筑施工--专业工程及其他
202,600610.SH,ST毅达,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
203,600667.SH,太极实业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,,
204,601226.SH,华电重工,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建筑--建筑施工--专业工程及其他
205,603359.SH,东珠生态,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
206,603698.SH,航天工程,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-化学工程,
207,603887.SH,城地香江,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--专业工程及其他
208,603979.SH,金诚信,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,,
209,900906.SH,ST毅达B,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
210,000039.SZ,中集集团,,工业--资本货物--机械--建筑机械与重型卡车,,
211,000157.SZ,中联重科,,工业--资本货物--机械--建筑机械与重型卡车,,
212,000338.SZ,潍柴动力,,工业--资本货物--机械--建筑机械与重型卡车,,
213,000425.SZ,徐工机械,,工业--资本货物--机械--建筑机械与重型卡车,,
214,000528.SZ,柳工,,工业--资本货物--机械--建筑机械与重型卡车,,
215,000570.SZ,苏常柴A,,工业--资本货物--机械--建筑机械与重型卡车,,
216,000680.SZ,山推股份,,工业--资本货物--机械--建筑机械与重型卡车,,
217,000816.SZ,智慧农业,,工业--资本货物--机械--建筑机械与重型卡车,,
218,000856.SZ,冀东装备,,工业--资本货物--机械--建筑机械与重型卡车,,
219,000880.SZ,潍柴重机,,工业--资本货物--机械--建筑机械与重型卡车,,
220,000903.SZ,云内动力,,工业--资本货物--机械--建筑机械与重型卡车,,
221,000951.SZ,中国重汽,,工业--资本货物--机械--建筑机械与重型卡车,,
222,002097.SZ,山河智能,,工业--资本货物--机械--建筑机械与重型卡车,,
223,002111.SZ,威海广泰,,工业--资本货物--机械--建筑机械与重型卡车,,
224,002480.SZ,新筑股份,,工业--资本货物--机械--建筑机械与重型卡车,,
225,002483.SZ,润邦股份,,工业--资本货物--机械--建筑机械与重型卡车,,
226,002523.SZ,天桥起重,,工业--资本货物--机械--建筑机械与重型卡车,,
227,002552.SZ,宝鼎科技,,工业--资本货物--机械--建筑机械与重型卡车,,
228,200570.SZ,苏常柴B,,工业--资本货物--机械--建筑机械与重型卡车,,
229,300103.SZ,达刚控股,,工业--资本货物--机械--建筑机械与重型卡车,,
230,300201.SZ,海伦哲,,工业--资本货物--机械--建筑机械与重型卡车,,
231,300210.SZ,森远股份,,工业--资本货物--机械--建筑机械与重型卡车,,
232,300391.SZ,康跃科技,,工业--资本货物--机械--建筑机械与重型卡车,,
233,300589.SZ,江龙船艇,,工业--资本货物--机械--建筑机械与重型卡车,,
234,300600.SZ,国瑞科技,,工业--资本货物--机械--建筑机械与重型卡车,,
235,600031.SH,三一重工,,工业--资本货物--机械--建筑机械与重型卡车,,
236,600150.SH,中国船舶,,工业--资本货物--机械--建筑机械与重型卡车,,
237,600169.SH,太原重工,,工业--资本货物--机械--建筑机械与重型卡车,,
238,600218.SH,全柴动力,,工业--资本货物--机械--建筑机械与重型卡车,,
239,600262.SH,北方股份,,工业--资本货物--机械--建筑机械与重型卡车,,
240,600320.SH,振华重工,,工业--资本货物--机械--建筑机械与重型卡车,,
241,600375.SH,华菱星马,,工业--资本货物--机械--建筑机械与重型卡车,,
242,600495.SH,晋西车轴,,工业--资本货物--机械--建筑机械与重型卡车,,
243,600501.SH,航天晨光,,工业--资本货物--机械--建筑机械与重型卡车,,
244,600528.SH,中铁工业,,工业--资本货物--机械--建筑机械与重型卡车,,建筑--建筑施工--专业工程及其他
245,600685.SH,中船防务,,工业--资本货物--机械--建筑机械与重型卡车,,
246,600761.SH,安徽合力,,工业--资本货物--机械--建筑机械与重型卡车,,
247,600815.SH,*ST厦工,,工业--资本货物--机械--建筑机械与重型卡车,,
248,600841.SH,上柴股份,,工业--资本货物--机械--建筑机械与重型卡车,,
249,600984.SH,建设机械,,工业--资本货物--机械--建筑机械与重型卡车,,
250,601766.SH,中国中车,,工业--资本货物--机械--建筑机械与重型卡车,,
251,601890.SH,亚星锚链,,工业--资本货物--机械--建筑机械与重型卡车,,
252,603298.SH,杭叉集团,,工业--资本货物--机械--建筑机械与重型卡车,,
253,603611.SH,诺力股份,,工业--资本货物--机械--建筑机械与重型卡车,,
254,603686.SH,龙马环卫,,工业--资本货物--机械--建筑机械与重型卡车,,
255,603966.SH,法兰泰克,,工业--资本货物--机械--建筑机械与重型卡车,,
256,605100.SH,华丰股份,,工业--资本货物--机械--建筑机械与重型卡车,,
257,900920.SH,上柴B股,,工业--资本货物--机械--建筑机械与重型卡车,,
258,900947.SH,振华B股,,工业--资本货物--机械--建筑机械与重型卡车,,
259,900953.SH,凯马B,,工业--资本货物--机械--建筑机械与重型卡车,,
260,600876.SH,洛阳玻璃,,,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
261,600668.SH,尖峰集团,,,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,
262,836149.OC,旭杰科技,,,,
263,002623.SZ,亚玛顿,,,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,
264,002043.SZ,兔宝宝,,,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
265,002082.SZ,万邦德,,,建筑材料-其他建材Ⅱ-其他建材Ⅲ,
266,603937.SH,丽岛新材,,,建筑材料-其他建材Ⅱ-其他建材Ⅲ,
267,605158.SH,华达新材,,,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--其他结构材料
268,002398.SZ,垒知集团,,,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
269,002178.SZ,延华智能,,,建筑装饰-专业工程-其他专业工程,建筑--建筑施工--专业工程及其他
270,002298.SZ,中电兴发,,,建筑装饰-专业工程-其他专业工程,
271,300592.SZ,华凯创意,,,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
272,603466.SH,风语筑,,,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
273,603081.SH,大丰实业,,,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,
274,000779.SZ,甘咨询,,,建筑装饰-基础建设-水利工程,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
275,002883.SZ,中设股份,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
276,002949.SZ,华阳国际,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
277,300284.SZ,苏交科,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
278,300384.SZ,三联虹普,,,建筑装饰-专业工程-化学工程,
279,300492.SZ,华图山鼎,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
280,300500.SZ,启迪设计,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
281,300564.SZ,筑博设计,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
282,300635.SZ,中达安,,,建筑装饰-专业工程-其他专业工程,
283,300668.SZ,杰恩设计,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
284,300675.SZ,建科院,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
285,300732.SZ,设研院,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
286,300746.SZ,汉嘉设计,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
287,300778.SZ,新城市,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
288,300826.SZ,测绘股份,,,建筑装饰-专业工程-其他专业工程,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
289,600629.SH,华建集团,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
290,603017.SH,中衡设计,,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
291,603018.SH,中设集团,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
292,603357.SH,设计总院,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
293,603458.SH,勘设股份,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
294,603860.SH,中公高科,,,建筑装饰-基础建设-路桥施工,
295,603909.SH,合诚股份,,,建筑装饰-基础建设-路桥施工,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
296,300044.SZ,赛为智能,,,,建筑--建筑施工--专业工程及其他
297,300860.SZ,锋尚文化,,,,建筑--建筑施工--专业工程及其他
298,600545.SH,卓郎智能,,,,建筑--建筑施工--专业工程及其他
299,603300.SH,华铁应急,,,,建筑--建筑施工--专业工程及其他
300,000795.SZ,英洛华,,,,建材--专用材料Ⅱ--其他专用材料
301,002613.SZ,北玻股份,,,,建材--结构材料--玻璃
302,300064.SZ,豫金刚石,,,,建材--专用材料Ⅱ--其他专用材料
303,300160.SZ,秀强股份,,,,建材--结构材料--玻璃
304,300179.SZ,四方达,,,,建材--专用材料Ⅱ--其他专用材料
305,300345.SZ,华民股份,,,,建材--专用材料Ⅱ--其他专用材料
306,300409.SZ,道氏技术,,,,建材--装饰材料--陶瓷
307,600293.SH,三峡新材,,,,建材--结构材料--玻璃
308,603268.SH,松发股份,,,,建材--装饰材料--陶瓷
309,603725.SH,天安新材,,,,建材--装饰材料--其他装饰材料
310,603826.SH,坤彩科技,,,,建材--专用材料Ⅱ--其他专用材料
311,603838.SH,四通股份,,,,建材--装饰材料--陶瓷
